Hora,Potência Geradora,Potência Consumida,Potência Total,Reativo Consumido,FP,Reativo Capacitivo Calculado,Banco de Capacitores Escolhido, FP Corrigido
0,0,105.92,,27.52,,,,
1,0,98.56,,31.59,,,,
2,0,98.36,,33.11,,,,
3,0,95.93,,33.95,,,,
4,0,93.73,,36.6,,,,
5,0,87.25,,37.86,,,,
6,11.95,95.93,,25.55,,,,
7,35.04,110,,42.55,,,,
8,69.97,130,,68.54,,,,
9,83.69,156,,89.07,,,,
10,126.95,160,,93.03,,,,
11,136.75,176,,93.66,,,,
12,130.83,176,,84.68,,,,
13,124.58,180,,85.97,,,,
14,106.81,160,,89.49,,,,
15,76.97,130.1,,87.55,,,,
16,42.93,161.32,,80.86,,,,
17,9.94,153.07,,71.96,,,,
18,0,19.06,,14.8,,,,
19,0,20,,14.6,,,,
20,0,20,,14.8,,,,
21,0,110.71,,24.86,,,,
22,0,108.1,,22.64,,,,
23,0,102.11,,25.05,,,,
